speed [m/s],power curves [kw],Ct value,*Air density£º,1.225 [kg/m3],,,,,,,,,,
3,22,0.886,,,,,,,,,,,,
3.5,78,0.859,,,,,,,,,,,,
4,151,0.843,,,,,,,,,,,,
4.5,237,0.834,,,,,,,,,,,,
5,253,0.833,,,,,,,,,,,,
5.5,466,0.831,,,,,,,,,,,,
6,618,0.826,,,,,,,,,,,,
6.5,797,0.824,,,,,,,,,,,,
7,1008,0.822,,,,,,,,,,,,
7.5,1250,0.811,,,,,,,,,,,,
8,1526,0.801,,,,,,,,,,,,
8.5,1838,0.8,,,,,,,,,,,,
9,2188,0.799,,,,,,,,,,,,
9.5,2552,0.782,,,,,,,,,,,,
10,2915,0.741,,,,,,,,,,,,
10.5,3253,0.682,,,,,,,,,,,,
11,3555,0.621,,,,,,,,,,,,
11.5,3807,0.562,,,,,,,,,,,,
12,3997,0.504,,,,,,,,,,,,
12.5,4115,0.477,,,,,,,,,,,,
13,4173,0.394,,,,,,,,,,,,
13.5,4184,0.347,,,,,,,,,,,,
14,4196,0.307,,,,,,,,,,,,
14.5,4200,0.274,,,,,,,,,,,,
15,4200,0.244,,,,,,,,,,,,
15.5,4200,0.219,,,,,,,,,,,,
16,4200,0.199,,,,,,,,,,,,
16.5,4200,0.18,,,,,,,,,,,,
17,4200,0.165,,,,,,,,,,,,
17.5,4200,0.151,,,,,,,,,,,,
18,4200,0.139,,,,,,,,,,,,
18.5,4200,0.128,,,,,,,,,,,,
19,4200,0.117,,,,,,,,,,,,
19.5,4200,0.109,,,,,,,,,,,,
20,4200,0.101,,,,,,,,,,,,
20.5,4200,0.094,,,,,,,,,,,,
21,4200,0.088,,,,,,,,,,,,
21.5,4200,0.083,,,,,,,,,,,,
22,4200,0.078,,,,,,,,,,,,
22.5,4200,0.073,,,,,,,,,,,,
23,4200,0.068,,,,,,,,,,,,
23.5,4200,0.064,,,,,,,,,,,,
24,4200,0.061,,,,,,,,,,,,
24.5,4200,0.057,,,,,,,,,,,,
25,4200,0.054,,,,,,,,,,,,
